Vendor,ProductCount,Tiers,CurrentAIPSDeliveryMethod,TermsURL,PricingURL,AccountSharingRule,CredentialSharingRule,TeamSeatRule,FamilySharingRule,ResaleRule,TransferRule,CommercialUseRule,Classification,DateChecked,Evidence,RequiredAction
"Buffer",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Canva",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"CapCut",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"ChatGPT",5,"Starter Shared; Premium Shared; Starter Shared; Premium Shared; Premium Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Claude",2,"Premium Shared; Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Cursor",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Descript",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Freepik",1,"Premium Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Gamma",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"GitHub",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Google",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Grammarly",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Grok",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"HeyGen",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Jasper",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Kling AI",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Leonardo AI",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Make (Integromat) Pro",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Microsoft",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Midjourney",3,"Shared; Premium Shared; Pro Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Monday.com",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Murf",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Opus",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
